fz,contract_regnum,contract_name,simple_product,eis_url,sign_date,sign_year,price,currency,region_name,foundation,customer_full_name,customer_inn,supplier_full_name,supplier_inn,no_of_products,product_name,product_sum_total_rur,product_code
44,2.6314E+18,Поставка реагентов и расходных материалов для лаборатории Государственного бюджетного учреждения здравоохранения ''Самарский областной клинический наркологический диспансер'',Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2631401030722000243,2022-11-25,2022,12404700,RUB,Самарская область,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""САМАРСКИЙ ОБЛАСТНОЙ КЛИНИЧЕСКИЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР""",6314010307,"ТД-ИНТЕРЛАБ, ООО",5047240649,1,Препараты диагностические,12404700,21.20.23.111
44,2772335638624000432,Поставка тест-полосок или тест-контейнеров или тест-кассет или планшетов индикаторных или тест-панелей для анализаторов видеоцифровых для фотофиксации и анализа иммунохроматографических тестов для нужд ГБУЗ «МНПЦ наркологии ДЗМ»,Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2772335638624000432,2024-09-23,2024,11700000,RUB,Москва,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ НАУЧНО-ПРАКТИЧЕСКИЙ ЦЕНТР НАРКОЛОГИИ ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""",7723356386,"НАРКОЛАБ, ООО",9717028246,1,Реагенты диагностические,,21.20.23.110
44,2434702326622000033,Поставка реагентов для системы капиллярного электрофореза «Minicap»,Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2434702326622000033,2022-04-22,2022,10387000,RUB,Кировская область,Электронный аукцион,"КИРОВСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КИРОВСКИЙ ОБЛАСТНОЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР""",4347023266,"МЕДИКОН, ООО",5047212306,1,"Реагенты сложные диагностические или лабораторные прочие, не включенные в другие группировки",10387000,20.59.52.199
44,2780104849422000057,Поставка медицинских изделий (реактивов для определения карбогидрат-дефицитного трансферрина (CDT) для нужд клинико-диагностической лаборатории СПб ГБУЗ «ГНБ»),Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2780104849422000057,2022-04-12,2022,1.03E+07,RUB,Санкт-Петербург,Электронный аукцион,"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ГОРОДСКАЯ НАРКОЛОГИЧЕСКАЯ БОЛЬНИЦА""",7801048494,"МЕДИКОН, ООО",5047212306,3,"Реагенты сложные диагностические или лабораторные прочие, не включенные в другие группировки",27109.16,20.59.52.199
44,2772335638624000001,Аукцион в электронной форме на право заключения контракта на поставку тест-полосок или тест-контейнеров или тест-кассет или планшетов индикаторных для анализаторов видеоцифровых для фотофиксации и анализа иммунохроматографических тестов для нужд ГБУЗ «МНПЦ наркологии ДЗМ»,Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2772335638624000001,2024-01-03,2024,10022860,RUB,Москва,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ НАУЧНО-ПРАКТИЧЕСКИЙ ЦЕНТР НАРКОЛОГИИ ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""",7723356386,"НАРКОЛАБ, ООО",9717028246,1,Реагенты диагностические,,21.20.23.110
44,2230905305822001420,"Поставка медицинских изделий: Множественные наркотики ИВД, набор, иммунохроматографический анализ, экспресс-анализ",Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2230905305822001420,2022-09-27,2022,9999990,RUB,Краснодарский край,Электронный аукцион,МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ КРАСНОДАРСКОГО КРАЯ,2309053058,"ИМПУЛЬСМЕД, ООО",7717744060,2,Препараты диагностические,9984397.5,21.20.23.111
44,2230905305823001542,"Поставка наборов множественные наркотики ИВД, иммунохроматографический анализ, экспресс-анализ, клинический",Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2230905305823001542,2023-10-03,2023,9990184,RUB,Краснодарский край,Электронный аукцион,МИНИСТЕРСТВО ЗДРАВООХРАНЕНИЯ КРАСНОДАРСКОГО КРАЯ,2309053058,"САРМАТ, ООО",7743411557,1,Реагенты диагностические,,21.20.23.110
44,2.24661E+18,"ЭА-№-2627/23 «Газовый хроматограф ИВД, автоматический»",Анализатор,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2246606455723000031,2023-03-27,2023,9895000,RUB,Красноярский край,Электронный аукцион,"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАСНОЯРСКОЕ КРАЕВОЕ БЮРО СУДЕБНО-МЕДИЦИНСКОЙ ЭКСПЕРТИЗЫ""",2466064557,"ОЕМ-СЕРВИС, ООО",7724853060,1,Аппараты электродиагностические прочие,9895000,26.60.12.119
44,2616410404922000061,"Поставка реагентов для анализатора СDT ""MINICAP""  для нужд ГБУ РО НД в 2022 году",Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2616410404922000061,2022-03-25,2022,9536390.98,RUB,Ростовская область,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РОСТОВСКОЙ ОБЛАСТИ ""НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР""",6164104049,"МЕДИКОН, ООО",5047212306,6,"Реагенты сложные диагностические или лабораторные прочие, не включенные в другие группировки",8988750,20.59.52.199
44,2.4347E+18,Оказание услуг по проведению технического обслуживания системы автоматизированной для капиллярного электрофореза Minicap Flex piercing,Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2434702326623000032,2023-02-13,2023,9511300,RUB,Кировская область,Электронный аукцион,"КИРОВСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КИРОВСКИЙ ОБЛАСТНОЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР""",4347023266,"ТД-ИНТЕРЛАБ, ООО",5047240649,2,"Реагенты сложные диагностические или лабораторные прочие, не включенные в другие группировки",,20.59.52.199
44,2.24602E+18,"ЭА-№-4321/22 «Газовый хроматограф ИВД, автоматический»",Анализатор,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2246022251022000075,2022-05-27,2022,9350550,RUB,Красноярский край,Электронный аукцион,"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАСНОЯРСКИЙ КРАЕВОЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР № 1""",2460222510,"ОЕМ-СЕРВИС, ООО",7724853060,1,,9350550,
44,2212900939522000021,на поставку реагентов in vitro для клинического электрофореза,Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2212900939522000021,2022-02-21,2022,9176932.04,RUB,Чувашская республика,Электронный аукцион,"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЧУВАШСКОЙ РЕСПУБЛИКИ ""РЕСПУБЛИКАНСКИЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ЧУВАШСКОЙ РЕСПУБЛИКИ",2129009395,"ИМПЕРИЯ, ООО",5047212271,4,"Реагенты сложные диагностические или лабораторные прочие, не включенные в другие группировки",9098571.66,20.59.52.199
44,2434702326624000087,Поставка тестов для выявления наркотических соединений в моче,Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2434702326624000087,2024-05-06,2024,8955000,RUB,Кировская область,Электронный аукцион,"КИРОВСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КИРОВСКИЙ ОБЛАСТНОЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР""",4347023266,"САРМАТ, ООО",7743411557,1,Реагенты диагностические,,21.20.23.110
44,2.6314E+18,"Поставка реагентов и расходных материалов для лаборатории Государственного бюджетного учреждения здравоохранения ""Самарский областной клинический наркологический диспансер""",Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2631401030724000074,2024-06-03,2024,8747200,RUB,Самарская область,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""САМАРСКИЙ ОБЛАСТНОЙ КЛИНИЧЕСКИЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР""",6314010307,"ТД-ИНТЕРЛАБ, ООО",5047240649,1,Реагенты диагностические,,21.20.23.110
44,2890502694822000019,"Поставка системы для электрофореза ИВД, автоматической",Анализатор,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2890502694822000019,2022-03-14,2022,8538000,RUB,Ямало-Ненецкий автономный округ,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""НОЯБРЬСКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ДИСПАНСЕР""",8905026948,"ТРАСТМЕД, ООО",9717069700,1,Аппараты электродиагностические прочие,8538000,26.60.12.119
44,2623000160222000031,Поставка реагентов диагностических (тест-контейнеры),Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2623000160222000031,2022-04-04,2022,8450000,RUB,Рязанская область,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЯЗАНСКОЙ ОБЛАСТИ ""ОБЛАСТНОЙ КЛИНИЧЕСКИЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР""",6230001602,"НЬЮ ТЕРРА, ООО",7717644957,1,"Реагенты сложные диагностические или лабораторные прочие, не включенные в другие группировки",8450000,20.59.52.199
44,2623000160222000030,Поставка реагентов диагностических (тест-контейнеры),Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2623000160222000030,2022-04-04,2022,8450000,RUB,Рязанская область,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЯЗАНСКОЙ ОБЛАСТИ ""ОБЛАСТНОЙ КЛИНИЧЕСКИЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР""",6230001602,"НЬЮ ТЕРРА, ООО",7717644957,1,"Реагенты сложные диагностические или лабораторные прочие, не включенные в другие группировки",8450000,20.59.52.199
44,2623000160222000032,Поставка реагентов диагностических (тест-контейнеры),Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2623000160222000032,2022-04-04,2022,8450000,RUB,Рязанская область,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЯЗАНСКОЙ ОБЛАСТИ ""ОБЛАСТНОЙ КЛИНИЧЕСКИЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР""",6230001602,"НЬЮ ТЕРРА, ООО",7717644957,1,"Реагенты сложные диагностические или лабораторные прочие, не включенные в другие группировки",8450000,20.59.52.199
44,2231205258322000403,Поставка тест-панелей для выявления наркотических соединений в моче,Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2231205258322000403,2022-08-19,2022,8237220,RUB,Краснодарский край,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ КРАСНОДАРСКОГО КРАЯ",2312052583,"ГЛОБАЛ ПАРК, ООО",7728596166,2,,7030000,
44,2.23121E+18,Поставка тест-панелей  для выявления наркотических соединений в моче,Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2231205258323000224,2023-04-24,2023,8187784,RUB,Краснодарский край,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ КРАСНОДАРСКОГО КРАЯ",2312052583,"ТД-ИНТЕРЛАБ, ООО",5047240649,2,Реагенты диагностические,7066224,21.20.23.110
44,2.23121E+18,Поставка тест-панелей  для выявления наркотических соединений в моче,Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2231205258323000224,2023-04-24,2023,8187784,RUB,Краснодарский край,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ КРАСНОДАРСКОГО КРАЯ",2312052583,"ТД-ИНТЕРЛАБ, ООО",5047240649,2,Реагенты диагностические,1121560,21.20.23.110
44,2.61641E+18,"Поставка реагентов для анализатора СDT ""MINICAP""  для нужд ГБУ РО НД в 2022 году",Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2616410404922000066,2022-04-01,2022,8027500,RUB,Ростовская область,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РОСТОВСКОЙ ОБЛАСТИ ""НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР""",6164104049,"ОЕМ-СЕРВИС, ООО",7724853060,1,"Приборы и аппаратура для физического или химического анализа прочие, не включенные в другие группировки",8027500,26.51.53.190
44,2166001341722000174,Поставка  реагентов и расходных материалов для анализатора электрофоретического автоматического Helena V-8 E-Class с принадлежностями для клинико-диагностической лаборатории  филиала ГАУЗ «РКНД МЗ РТ»- Альметьевский наркологический диспансер в 2022г.,Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2166001341722000174,2022-09-23,2022,8017431,RUB,Республика Татарстан,Электронный аукцион,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""РЕСПУБЛИКАНСКИЙ КЛИНИЧЕСКИЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ ТАТАРСТАН""",1660013417,"ИМПУЛЬСМЕД, ООО",7717744060,5,"Реагенты сложные диагностические или лабораторные прочие, не включенные в другие группировки",7494459,20.59.52.199
44,2501820262422000047,Поставка тестов для иммунохроматографического выявления различных наркотических соединений и их метаболитов в моче человека (ИХА-АМ-ФАКТОР) для аппарата Сармат,Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2501820262422000047,2022-05-04,2022,7811100,RUB,Московская область,Электронный аукцион,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЯ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""МОСКОВСКИЙ ОБЛАСТНОЙ КЛИНИЧЕСКИЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР""",5018202624,"НАРКОЛАБ, ООО",9717028246,1,"Реагенты сложные диагностические или лабораторные прочие, не включенные в другие группировки",7811100,20.59.52.199
44,2434702326622000030,Поставка реагентов диагностических,Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2434702326622000030,2022-03-28,2022,7385202,RUB,Кировская область,Электронный аукцион,"КИРОВСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КИРОВСКИЙ ОБЛАСТНОЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР""",4347023266,"НЬЮ ТЕРРА, ООО",7717644957,2,"Реагенты сложные диагностические или лабораторные прочие, не включенные в другие группировки",273042,20.59.52.199
44,2.166E+18,Поставка  реагентов и расходных материалов для анализатора электрофоретического автоматического Helena V-8 E-Class с принадлежностями для клинико-диагностической лаборатории  филиала ГАУЗ «РКНД МЗ РТ»- Альметьевский наркологический диспансер в 2022г.,Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2166001341722000131,2022-08-01,2022,7383125.14,RUB,Республика Татарстан,Электронный аукцион,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""РЕСПУБЛИКАНСКИЙ КЛИНИЧЕСКИЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ ТАТАРСТАН""",1660013417,"ТД-ИНТЕРЛАБ, ООО",5047240649,2,"Реагенты сложные диагностические или лабораторные прочие, не включенные в другие группировки",29527.77,20.59.52.199
44,2.166E+18,Поставка  реагентов и расходных материалов для анализатора электрофоретического автоматического Helena V-8 E-Class с принадлежностями для клинико-диагностической лаборатории  филиала ГАУЗ «РКНД МЗ РТ»- Альметьевский наркологический диспансер в 2022г.,Реагенты и экспресс-тесты,https://zakupki.gov.ru/epz/contract/contractCard/common-info.html?reestrNumber=2166001341722000131,2022-08-01,2022,7383125.14,RUB,Республика Татарстан,Электронный аукцион,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""РЕСПУБЛИКАНСКИЙ КЛИНИЧЕСКИЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ ТАТАРСТАН""",1660013417,"ТД-ИНТЕРЛАБ, ООО",5047240649,2,"Реагенты сложные диагностические или лабораторные прочие, не включенные в другие группировки",7353597.37,20.59.52.199
